Team,Season,No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
Philadelphia 76ers,2012-13,4,Dorell Wright,SF,6-9,205,"December 2, 1985",8,
Philadelphia 76ers,2012-13,1,Nick Young,SG,6-7,210,"June 1, 1985",5,USC
Philadelphia 76ers,2012-13,21,Thaddeus Young,PF,6-8,235,"June 21, 1988",5,Georgia Tech
Philadelphia 76ers,2013-14,50,Lavoy Allen,PF,6-9,260,"February 4, 1989",2,Temple
Philadelphia 76ers,2013-14,9,James Anderson,SG,6-6,213,"March 25, 1989",3,Oklahoma State
Philadelphia 76ers,2013-14,7,Lorenzo Brown,PG,6-5,189,"August 26, 1990",R,NC State
Philadelphia 76ers,2013-14,1,Michael Carter-Williams,PG,6-5,190,"October 10, 1991",R,Syracuse
Philadelphia 76ers,2013-14,20,Brandon Davies,PF,6-10,240,"July 25, 1991",R,BYU
Philadelphia 76ers,2013-14,30,Dewayne Dedmon,C,7-0,245,"August 12, 1989",R,USC
Philadelphia 76ers,2013-14,00,Spencer Hawes,C,7-1,245,"April 28, 1988",6,Washington
Philadelphia 76ers,2013-14,0,Darius Johnson-Odom,SG,6-2,215,"September 28, 1989",1,Marquette
Philadelphia 76ers,2013-14,11,Eric Maynor,PG,6-3,175,"June 11, 1987",4,VCU
Philadelphia 76ers,2013-14,7,Darius Morris,PG,6-4,190,"January 3, 1991",2,Michigan
Philadelphia 76ers,2013-14,5,Arnett Moultrie,PF,6-11,249,"November 18, 1990",1,Texas-El Paso
Philadelphia 76ers,2013-14,30,Byron Mullens,C,7-0,275,"February 14, 1989",4,Ohio State
Philadelphia 76ers,2013-14,12,James Nunnally,SF,6-7,208,"July 14, 1990",R,UC Santa Barbara
Philadelphia 76ers,2013-14,33,Daniel Orton,C,6-10,255,"August 6, 1990",2,Kentucky
Philadelphia 76ers,2013-14,35,Henry Sims,C,6-10,248,"March 27, 1990",1,Georgetown
Philadelphia 76ers,2013-14,7,Adonis Thomas,SF,6-7,200,"March 25, 1993",R,Memphis
Philadelphia 76ers,2013-14,31,Hollis Thompson,SF,6-8,206,"April 3, 1991",R,Georgetown
Philadelphia 76ers,2013-14,12,Evan Turner,SF,6-6,220,"October 27, 1988",3,Ohio State
Philadelphia 76ers,2013-14,40,Jarvis Varnado,PF,6-9,230,"March 1, 1988",1,Mississippi State
Philadelphia 76ers,2013-14,17,Casper Ware,PG,5-10,175,"January 17, 1990",R,Cal State Long Beach
Philadelphia 76ers,2013-14,25,Elliot Williams,SG,6-5,190,"June 20, 1989",1,Duke
Philadelphia 76ers,2013-14,8,Tony Wroten,PG,6-6,205,"April 13, 1993",1,Washington
Philadelphia 76ers,2013-14,21,Thaddeus Young,PF,6-8,235,"June 21, 1988",6,Georgia Tech
Philadelphia 76ers,2014-15,19,Furkan Aldemir,PF,6-10,240,"August 9, 1991",R,
Philadelphia 76ers,2014-15,0,Isaiah Canaan,PG,6-0,201,"May 21, 1991",1,Murray State
Philadelphia 76ers,2014-15,1,Michael Carter-Williams,PG,6-5,190,"October 10, 1991",1,Syracuse
Philadelphia 76ers,2014-15,33,Robert Covington,SF,6-7,209,"December 14, 1990",1,Tennessee State
Philadelphia 76ers,2014-15,0,Brandon Davies,PF,6-10,240,"July 25, 1991",1,BYU
Philadelphia 76ers,2014-15,7,Larry Drew II,PG,6-2,180,"March 5, 1990",R,UNC
Philadelphia 76ers,2014-15,20,Tim Frazier,PG,6-0,170,"November 1, 1990",R,Penn State
Philadelphia 76ers,2014-15,30,Drew Gordon,PF,6-9,245,"July 12, 1990",R,UCLA
Philadelphia 76ers,2014-15,39,Jerami Grant,SF,6-8,210,"March 12, 1994",R,Syracuse
Philadelphia 76ers,2014-15,16,Chris Johnson,SF,6-6,206,"April 29, 1990",2,Dayton
Philadelphia 76ers,2014-15,11,Malcolm Lee,SG,6-5,200,"May 22, 1990",2,UCLA
Philadelphia 76ers,2014-15,12,Luc Mbah a Moute,PF,6-8,230,"September 9, 1986",6,UCLA
Philadelphia 76ers,2014-15,14,K.J. McDaniels,SG,6-6,205,"February 9, 1993",R,Clemson
Philadelphia 76ers,2014-15,1,JaVale McGee,C,7-0,270,"January 19, 1988",6,Nevada
Philadelphia 76ers,2014-15,4,Nerlens Noel,C,6-11,220,"April 10, 1994",R,Kentucky
Philadelphia 76ers,2014-15,23,Jason Richardson,SG,6-6,220,"January 20, 1981",12,Michigan State
Philadelphia 76ers,2014-15,1,Glenn Robinson III,SF,6-6,222,"January 8, 1994",R,Michigan
Philadelphia 76ers,2014-15,41,Thomas Robinson,PF,6-10,237,"March 17, 1991",2,Kansas
Philadelphia 76ers,2014-15,9,JaKarr Sampson,SF,6-7,214,"March 20, 1993",R,St. John's
Philadelphia 76ers,2014-15,88,Alexey Shved,SG,6-6,190,"December 16, 1988",2,
Philadelphia 76ers,2014-15,35,Henry Sims,C,6-10,248,"March 27, 1990",2,Georgetown
Philadelphia 76ers,2014-15,5,Ish Smith,PG,6-0,175,"July 5, 1988",4,Wake Forest
Philadelphia 76ers,2014-15,11,Malcolm Thomas,PF,6-9,225,"November 8, 1988",3,Pepperdine
Philadelphia 76ers,2014-15,31,Hollis Thompson,SG,6-8,206,"April 3, 1991",1,Georgetown
Philadelphia 76ers,2014-15,8,Tony Wroten,PG,6-6,205,"April 13, 1993",2,Washington
Philadelphia 76ers,2015-16,42,Elton Brand,C,6-8,275,"March 11, 1979",16,Duke
Philadelphia 76ers,2015-16,0,Isaiah Canaan,SG,6-0,201,"May 21, 1991",2,Murray State
Philadelphia 76ers,2015-16,33,Robert Covington,SF,6-7,209,"December 14, 1990",2,Tennessee State
Philadelphia 76ers,2015-16,39,Jerami Grant,PF,6-8,210,"March 12, 1994",1,Syracuse
Philadelphia 76ers,2015-16,22,Richaun Holmes,PF,6-10,235,"October 15, 1993",R,Bowling Green
Philadelphia 76ers,2015-16,7,Carl Landry,PF,6-9,248,"September 19, 1983",8,Vincennes University
Philadelphia 76ers,2015-16,5,Kendall Marshall,PG,6-4,200,"August 19, 1991",3,UNC
Philadelphia 76ers,2015-16,12,T.J. McConnell,PG,6-1,190,"March 25, 1992",R,Duquesne
Philadelphia 76ers,2015-16,4,Nerlens Noel,C,6-11,220,"April 10, 1994",1,Kentucky
Philadelphia 76ers,2015-16,8,Jahlil Okafor,C,6-10,270,"December 15, 1995",R,Duke
Philadelphia 76ers,2015-16,26,Phil Pressey,PG,5-11,175,"February 17, 1991",2,Missouri
Philadelphia 76ers,2015-16,9,JaKarr Sampson,SF,6-7,214,"March 20, 1993",1,St. John's
Philadelphia 76ers,2015-16,1,Ish Smith,PG,6-0,175,"July 5, 1988",5,Wake Forest
Philadelphia 76ers,2015-16,11,Nik Stauskas,SG,6-6,205,"October 7, 1993",1,Michigan
Philadelphia 76ers,2015-16,31,Hollis Thompson,SG,6-8,206,"April 3, 1991",2,Georgetown
Philadelphia 76ers,2015-16,9,Sonny Weems,SF,6-6,205,"July 8, 1986",3,Arkansas
Philadelphia 76ers,2015-16,35,Christian Wood,PF,6-10,214,"September 27, 1995",R,UNLV
Philadelphia 76ers,2015-16,1,Tony Wroten,PG,6-6,205,"April 13, 1993",3,Washington
Philadelphia 76ers,2016-17,23,Justin Anderson,SF,6-6,230,"November 19, 1993",1,Virginia
Philadelphia 76ers,2016-17,0,Jerryd Bayless,PG,6-3,200,"August 20, 1988",8,Arizona
Philadelphia 76ers,2016-17,33,Robert Covington,SF,6-7,209,"December 14, 1990",3,Tennessee State
Philadelphia 76ers,2016-17,21,Joel Embiid,C,7-0,280,"March 16, 1994",R,Kansas
Philadelphia 76ers,2016-17,39,Jerami Grant,PF,6-8,210,"March 12, 1994",2,Syracuse
Philadelphia 76ers,2016-17,30,Justin Harper,PF,6-10,225,"August 30, 1989",2,Richmond
Philadelphia 76ers,2016-17,12,Gerald Henderson,SG,6-5,215,"December 9, 1987",7,Duke
Philadelphia 76ers,2016-17,22,Richaun Holmes,C,6-10,235,"October 15, 1993",1,Bowling Green
Philadelphia 76ers,2016-17,7,Ersan İlyasova,PF,6-9,235,"May 15, 1987",8,
Philadelphia 76ers,2016-17,36,Shawn Long,C,6-9,255,"January 29, 1993",R,Louisiana
Philadelphia 76ers,2016-17,20,Timothé Luwawu-Cabarrot,SF,6-7,220,"May 9, 1995",R,
Philadelphia 76ers,2016-17,1,T.J. McConnell,PG,6-1,190,"March 25, 1992",1,Duquesne
Philadelphia 76ers,2016-17,4,Nerlens Noel,C,6-11,220,"April 10, 1994",2,Kentucky
Philadelphia 76ers,2016-17,8,Jahlil Okafor,C,6-10,270,"December 15, 1995",1,Duke
Philadelphia 76ers,2016-17,5,Alex Poythress,PF,6-9,235,"September 6, 1993",R,Kentucky
Philadelphia 76ers,2016-17,5,Chasson Randle,PG,6-2,185,"February 5, 1993",R,Stanford
Philadelphia 76ers,2016-17,14,Sergio Rodríguez,PG,6-3,176,"June 12, 1986",4,
Philadelphia 76ers,2016-17,9,Dario Šarić,PF,6-10,225,"April 8, 1994",R,
Philadelphia 76ers,2016-17,47,Tiago Splitter,C,6-11,245,"January 1, 1985",6,
Philadelphia 76ers,2016-17,11,Nik Stauskas,SG,6-6,205,"October 7, 1993",2,Michigan
Philadelphia 76ers,2016-17,31,Hollis Thompson,SG,6-8,206,"April 3, 1991",3,Georgetown
Philadelphia 76ers,2017-18,1,Justin Anderson,SF,6-6,230,"November 19, 1993",2,Virginia
Philadelphia 76ers,2017-18,0,Jerryd Bayless,SG,6-3,200,"August 20, 1988",9,Arizona
Philadelphia 76ers,2017-18,18,Marco Belinelli,SG,6-5,220,"March 25, 1986",10,
Philadelphia 76ers,2017-18,35,Trevor Booker,PF,6-8,228,"November 25, 1987",7,Clemson
Philadelphia 76ers,2017-18,33,Robert Covington,SF,6-7,209,"December 14, 1990",4,Tennessee State
Philadelphia 76ers,2017-18,27,Larry Drew II,PG,6-2,180,"March 5, 1990",1,UNC
Philadelphia 76ers,2017-18,21,Joel Embiid,C,7-0,280,"March 16, 1994",1,Kansas
Philadelphia 76ers,2017-18,20,Markelle Fultz,SG,6-3,209,"May 29, 1998",R,Washington
Philadelphia 76ers,2017-18,22,Richaun Holmes,C,6-10,235,"October 15, 1993",2,Bowling Green
Philadelphia 76ers,2017-18,23,Ersan İlyasova,PF,6-9,235,"May 15, 1987",9,
Philadelphia 76ers,2017-18,11,Demetrius Jackson,PG,6-1,201,"September 7, 1994",1,Notre Dame
Philadelphia 76ers,2017-18,5,Amir Johnson,C,6-9,240,"May 1, 1987",12,
Philadelphia 76ers,2017-18,30,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",R,
Philadelphia 76ers,2017-18,7,Timothé Luwawu-Cabarrot,SF,6-7,220,"May 9, 1995",1,
Philadelphia 76ers,2017-18,14,James Michael McAdoo,PF,6-9,230,"January 4, 1993",3,UNC
Philadelphia 76ers,2017-18,12,T.J. McConnell,PG,6-1,190,"March 25, 1992",2,Duquesne
Philadelphia 76ers,2017-18,8,Jahlil Okafor,C,6-10,270,"December 15, 1995",2,Duke
Philadelphia 76ers,2017-18,00,Jacob Pullen,PG,6-1,200,"November 10, 1989",R,Kansas State
Philadelphia 76ers,2017-18,17,J.J. Redick,SG,6-3,200,"June 24, 1984",11,Duke
Philadelphia 76ers,2017-18,9,Dario Šarić,PF,6-10,225,"April 8, 1994",1,
Philadelphia 76ers,2017-18,25,Ben Simmons,PG,6-11,240,"July 20, 1996",R,LSU
Philadelphia 76ers,2017-18,11,Nik Stauskas,SG,6-6,205,"October 7, 1993",3,Michigan
Philadelphia 76ers,2017-18,8,James Young,SG,6-6,215,"August 16, 1995",3,Kentucky
Philadelphia 76ers,2018-19,43,Jonah Bolden,PF,6-8,220,"January 2, 1996",R,UCLA
Philadelphia 76ers,2018-19,00,Corey Brewer,SF,6-9,186,"March 5, 1986",11,Florida
Philadelphia 76ers,2018-19,23,Jimmy Butler,SF,6-7,230,"September 14, 1989",7,Marquette
Philadelphia 76ers,2018-19,22,Wilson Chandler,PF,6-8,235,"May 10, 1987",10,DePaul
Philadelphia 76ers,2018-19,33,Robert Covington,SF,6-7,209,"December 14, 1990",5,Tennessee State
Philadelphia 76ers,2018-19,21,Joel Embiid,C,7-0,280,"March 16, 1994",2,Kansas
Philadelphia 76ers,2018-19,11,James Ennis III,SF,6-6,215,"July 1, 1990",4,Cal State Long Beach
Philadelphia 76ers,2018-19,20,Markelle Fultz,SG,6-3,209,"May 29, 1998",1,Washington
Philadelphia 76ers,2018-19,33,Tobias Harris,PF,6-8,226,"July 15, 1992",7,Tennessee
Philadelphia 76ers,2018-19,7,Haywood Highsmith,SF,6-7,220,"December 9, 1996",R,Wheeling University
Philadelphia 76ers,2018-19,11,Demetrius Jackson,PG,6-1,201,"September 7, 1994",2,Notre Dame
Philadelphia 76ers,2018-19,5,Amir Johnson,C,6-9,240,"May 1, 1987",13,
Philadelphia 76ers,2018-19,30,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",1,
Philadelphia 76ers,2018-19,51,Boban Marjanović,C,7-3,290,"August 15, 1988",3,
Philadelphia 76ers,2018-19,12,T.J. McConnell,PG,6-1,190,"March 25, 1992",3,Duquesne
Philadelphia 76ers,2018-19,18,Shake Milton,SG,6-5,205,"September 26, 1996",R,SMU
Philadelphia 76ers,2018-19,55,Greg Monroe,C,6-11,265,"June 4, 1990",8,Georgetown
Philadelphia 76ers,2018-19,31,Mike Muscala,PF,6-10,240,"July 1, 1991",5,Bucknell
Philadelphia 76ers,2018-19,0,Justin Patton,C,6-11,241,"June 14, 1997",1,Creighton
Philadelphia 76ers,2018-19,17,J.J. Redick,SG,6-3,200,"June 24, 1984",12,Duke
Philadelphia 76ers,2018-19,9,Dario Šarić,PF,6-10,225,"April 8, 1994",2,
Philadelphia 76ers,2018-19,1,Mike Scott,PF,6-7,237,"July 16, 1988",6,Virginia
Philadelphia 76ers,2018-19,"1, 23",Landry Shamet,SG,6-4,190,"March 13, 1997",R,Wichita State
Philadelphia 76ers,2018-19,25,Ben Simmons,PG,6-11,240,"July 20, 1996",1,LSU
Philadelphia 76ers,2018-19,14,Jonathon Simmons,SF,6-6,195,"September 14, 1989",3,Houston
Philadelphia 76ers,2018-19,8,Zhaire Smith,SG,6-3,205,"June 4, 1999",R,Texas Tech
Philadelphia 76ers,2019-20,43,Jonah Bolden,C,6-8,220,"January 2, 1996",1,UCLA
Philadelphia 76ers,2019-20,23,Trey Burke,PG,6-0,185,"November 12, 1992",6,Michigan
Philadelphia 76ers,2019-20,20,Alec Burks,SG,6-6,214,"July 20, 1991",8,Colorado
Philadelphia 76ers,2019-20,21,Joel Embiid,C,7-0,280,"March 16, 1994",3,Kansas
Philadelphia 76ers,2019-20,11,James Ennis III,SF,6-6,215,"July 1, 1990",5,Cal State Long Beach
Philadelphia 76ers,2019-20,12,Tobias Harris,PF,6-8,226,"July 15, 1992",8,Tennessee
Philadelphia 76ers,2019-20,42,Al Horford,C,6-9,240,"June 3, 1986",12,Florida
Philadelphia 76ers,2019-20,30,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",2,
Philadelphia 76ers,2019-20,18,Shake Milton,SG,6-5,205,"September 26, 1996",1,SMU
Philadelphia 76ers,2019-20,19,Raul Neto,PG,6-1,180,"May 19, 1992",4,
Philadelphia 76ers,2019-20,9,Kyle O'Quinn,C,6-9,250,"March 26, 1990",7,Norfolk State
Philadelphia 76ers,2019-20,14,Norvel Pelle,C,6-10,231,"February 3, 1993",R,
Philadelphia 76ers,2019-20,0,Josh Richardson,SG,6-5,200,"September 15, 1993",4,Tennessee
Philadelphia 76ers,2019-20,40,Glenn Robinson III,SF,6-6,222,"January 8, 1994",5,Michigan
Philadelphia 76ers,2019-20,1,Mike Scott,PF,6-7,237,"July 16, 1988",7,Virginia
Philadelphia 76ers,2019-20,35,Marial Shayok,SG,6-5,198,"July 26, 1995",R,Virginia
Philadelphia 76ers,2019-20,25,Ben Simmons,PG,6-11,240,"July 20, 1996",2,LSU
Philadelphia 76ers,2019-20,5,Zhaire Smith,SF,6-3,205,"June 4, 1999",1,Texas Tech
Philadelphia 76ers,2019-20,22,Matisse Thybulle,SG,6-5,201,"March 4, 1997",R,Washington
Philadelphia 76ers,2020-21,11,Tony Bradley,C,6-10,248,"January 8, 1998",3,UNC
Philadelphia 76ers,2020-21,17,Ignas Brazdeikis,SF,6-6,221,"January 8, 1999",1,Michigan
Philadelphia 76ers,2020-21,11,Gary Clark,PF,6-6,225,"November 16, 1994",2,Cincinnati
Philadelphia 76ers,2020-21,31,Seth Curry,SG,6-2,185,"August 23, 1990",6,Liberty
Philadelphia 76ers,2020-21,21,Joel Embiid,C,7-0,280,"March 16, 1994",4,Kansas
Philadelphia 76ers,2020-21,23,Terrance Ferguson,SG,6-6,190,"May 17, 1998",3,
Philadelphia 76ers,2020-21,14,Danny Green,SF,6-6,215,"June 22, 1987",11,UNC
Philadelphia 76ers,2020-21,12,Tobias Harris,PF,6-8,226,"July 15, 1992",9,Tennessee
Philadelphia 76ers,2020-21,33,George Hill,PG,6-4,188,"May 4, 1986",12,IUPUI
Philadelphia 76ers,2020-21,39,Dwight Howard,C,6-10,265,"December 8, 1985",16,
Philadelphia 76ers,2020-21,7,Isaiah Joe,SG,6-4,165,"July 2, 1999",R,Arkansas
Philadelphia 76ers,2020-21,5,Mason Jones,SG,6-4,200,"July 21, 1998",R,Connors State College
Philadelphia 76ers,2020-21,30,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",3,
Philadelphia 76ers,2020-21,33,Dakota Mathias,SG,6-4,200,"July 11, 1995",R,Purdue
Philadelphia 76ers,2020-21,0,Tyrese Maxey,SG,6-2,200,"November 4, 2000",R,Kentucky
Philadelphia 76ers,2020-21,18,Shake Milton,SG,6-5,205,"September 26, 1996",2,SMU
Philadelphia 76ers,2020-21,17,Vincent Poirier,C,7-0,235,"October 17, 1993",1,
Philadelphia 76ers,2020-21,44,Paul Reed,PF,6-9,210,"June 14, 1999",R,DePaul
Philadelphia 76ers,2020-21,1,Mike Scott,PF,6-7,237,"July 16, 1988",8,Virginia
Philadelphia 76ers,2020-21,25,Ben Simmons,PG,6-11,240,"July 20, 1996",3,LSU
Philadelphia 76ers,2020-21,22,Matisse Thybulle,SG,6-5,201,"March 4, 1997",1,Washington
Philadelphia 76ers,2020-21,43,Anthony Tolliver,PF,6-8,240,"June 1, 1985",12,Creighton
Philadelphia 76ers,2020-21,9,Rayjon Tucker,PG,6-3,209,"September 24, 1997",1,Florida Gulf Coast
Phoenix Suns,2010-11,30,Earl Barron,C,7-0,250,"August 14, 1981",4,Memphis
Phoenix Suns,2010-11,0,Aaron Brooks,PG,6-0,161,"January 14, 1985",3,Oregon
Phoenix Suns,2010-11,25,Vince Carter,SG,6-6,220,"January 26, 1977",12,UNC
Phoenix Suns,2010-11,1,Josh Childress,SG,6-8,210,"June 20, 1983",4,Stanford
Phoenix Suns,2010-11,55,Earl Clark,SF,6-10,225,"January 17, 1988",1,Louisville
Phoenix Suns,2010-11,22,Zabian Dowdell,PG,6-3,191,"September 10, 1984",R,Virginia Tech
Phoenix Suns,2010-11,2,Goran Dragić,PG,6-3,190,"May 6, 1986",2,
Phoenix Suns,2010-11,3,Jared Dudley,SF,6-6,237,"July 10, 1985",3,Boston College
Phoenix Suns,2010-11,8,Channing Frye,PF,7-0,255,"May 17, 1983",5,Arizona
Phoenix Suns,2010-11,4,Marcin Gortat,C,6-11,240,"February 17, 1984",3,
Phoenix Suns,2010-11,33,Grant Hill,SF,6-8,225,"October 5, 1972",15,Duke
Phoenix Suns,2010-11,31,Gani Lawal,PF,6-9,234,"November 7, 1988",R,Georgia Tech
Phoenix Suns,2010-11,15,Robin Lopez,C,7-0,281,"April 1, 1988",2,Stanford
Phoenix Suns,2010-11,13,Steve Nash,PG,6-3,195,"February 7, 1974",14,Santa Clara
Phoenix Suns,2010-11,12,Mickaël Piétrus,SG,6-6,215,"February 7, 1982",7,
Phoenix Suns,2010-11,23,Jason Richardson,SG,6-6,220,"January 20, 1981",9,Michigan State
Phoenix Suns,2010-11,20,Garret Siler,C,6-11,305,"October 25, 1986",R,Augusta State University
Phoenix Suns,2010-11,19,Hedo Türkoğlu,PF,6-10,220,"March 19, 1979",10,
Phoenix Suns,2010-11,21,Hakim Warrick,PF,6-9,219,"July 8, 1982",5,Syracuse
Phoenix Suns,2011-12,26,Shannon Brown,SG,6-4,205,"November 29, 1985",5,Michigan State
Phoenix Suns,2011-12,1,Josh Childress,SF,6-8,210,"June 20, 1983",5,Stanford
Phoenix Suns,2011-12,3,Jared Dudley,SG,6-6,237,"July 10, 1985",4,Boston College
Phoenix Suns,2011-12,8,Channing Frye,PF,7-0,255,"May 17, 1983",6,Arizona
Phoenix Suns,2011-12,4,Marcin Gortat,C,6-11,240,"February 17, 1984",4,
Phoenix Suns,2011-12,33,Grant Hill,SF,6-8,225,"October 5, 1972",16,Duke
Phoenix Suns,2011-12,15,Robin Lopez,C,7-0,281,"April 1, 1988",3,Stanford
Phoenix Suns,2011-12,11,Markieff Morris,PF,6-9,245,"September 2, 1989",R,Kansas
Phoenix Suns,2011-12,13,Steve Nash,PG,6-3,195,"February 7, 1974",15,Santa Clara
Phoenix Suns,2011-12,2,Ronnie Price,PG,6-2,190,"June 21, 1983",6,Nicholls State
Phoenix Suns,2011-12,22,Michael Redd,SG,6-6,220,"August 24, 1979",11,Ohio State
Phoenix Suns,2011-12,31,Sebastian Telfair,PG,6-0,165,"June 9, 1985",7,
Phoenix Suns,2011-12,21,Hakim Warrick,PF,6-9,219,"July 8, 1982",6,Syracuse
Phoenix Suns,2012-13,0,Michael Beasley,SF,6-9,235,"January 9, 1989",4,Kansas State
Phoenix Suns,2012-13,26,Shannon Brown,SG,6-4,205,"November 29, 1985",6,Michigan State
Phoenix Suns,2012-13,1,Goran Dragić,PG,6-3,190,"May 6, 1986",4,
Phoenix Suns,2012-13,3,Jared Dudley,SF,6-6,237,"July 10, 1985",5,Boston College
Phoenix Suns,2012-13,10,Diante Garrett,PG,6-4,190,"November 3, 1988",R,Iowa State
Phoenix Suns,2012-13,4,Marcin Gortat,C,6-11,240,"February 17, 1984",5,
Phoenix Suns,2012-13,98,Hamed Haddadi,C,7-2,254,"May 19, 1985",4,
Phoenix Suns,2012-13,2,Wesley Johnson,SF,6-7,215,"July 11, 1987",2,Iowa State
Phoenix Suns,2012-13,12,Kendall Marshall,PG,6-4,200,"August 19, 1991",R,UNC
Phoenix Suns,2012-13,15,Marcus Morris,SF,6-8,218,"September 2, 1989",1,Kansas
Phoenix Suns,2012-13,11,Markieff Morris,PF,6-9,245,"September 2, 1989",1,Kansas
Phoenix Suns,2012-13,20,Jermaine O'Neal,C,6-11,226,"October 13, 1978",16,
Phoenix Suns,2012-13,14,Luis Scola,PF,6-9,240,"April 30, 1980",5,
Phoenix Suns,2012-13,31,Sebastian Telfair,PG,6-0,165,"June 9, 1985",8,
Phoenix Suns,2012-13,17,P.J. Tucker,SG,6-5,245,"May 5, 1985",1,Texas
Phoenix Suns,2012-13,40,Luke Zeller,C,6-11,245,"April 7, 1987",R,Notre Dame
Phoenix Suns,2013-14,10,Leandro Barbosa,PG,6-3,194,"November 28, 1982",10,
Phoenix Suns,2013-14,2,Eric Bledsoe,PG,6-1,214,"December 9, 1989",3,Kentucky
Phoenix Suns,2013-14,25,Dionte Christmas,SF,6-5,205,"September 15, 1986",R,Temple
Phoenix Suns,2013-14,1,Goran Dragić,SG,6-3,190,"May 6, 1986",5,
Phoenix Suns,2013-14,8,Channing Frye,PF,7-0,255,"May 17, 1983",7,Arizona
Phoenix Suns,2013-14,20,Archie Goodwin,SG,6-5,200,"August 17, 1994",R,Kentucky
Phoenix Suns,2013-14,14,Gerald Green,SG,6-6,205,"January 26, 1986",6,
Phoenix Suns,2013-14,55,Viacheslav Kravtsov,C,7-0,260,"August 25, 1987",1,
Phoenix Suns,2013-14,21,Alex Len,C,7-0,250,"June 16, 1993",R,Maryland
Phoenix Suns,2013-14,15,Marcus Morris,SF,6-8,218,"September 2, 1989",2,Kansas
Phoenix Suns,2013-14,11,Markieff Morris,PF,6-9,245,"September 2, 1989",2,Kansas
Phoenix Suns,2013-14,22,Miles Plumlee,C,6-11,249,"September 1, 1988",1,Duke
Phoenix Suns,2013-14,43,Shavlik Randolph,PF,6-10,240,"November 24, 1983",6,Duke
Phoenix Suns,2013-14,3,Ish Smith,PG,6-0,175,"July 5, 1988",3,Wake Forest
Phoenix Suns,2013-14,17,P.J. Tucker,SF,6-5,245,"May 5, 1985",2,Texas
Phoenix Suns,2014-15,30,Earl Barron,C,7-0,250,"August 14, 1981",7,Memphis
Phoenix Suns,2014-15,2,Eric Bledsoe,PG,6-1,214,"December 9, 1989",4,Kentucky
Phoenix Suns,2014-15,25,Reggie Bullock,SF,6-6,205,"March 16, 1991",1,UNC
Phoenix Suns,2014-15,10,Seth Curry,PG,6-2,185,"August 23, 1990",1,Liberty
Phoenix Suns,2014-15,1,Goran Dragić,SG,6-3,190,"May 6, 1986",6,
Phoenix Suns,2014-15,10,Zoran Dragić,SG,6-5,200,"June 22, 1989",R,
Phoenix Suns,2014-15,4,Tyler Ennis,PG,6-3,194,"August 24, 1994",R,Syracuse
Phoenix Suns,2014-15,20,Archie Goodwin,SG,6-5,200,"August 17, 1994",1,Kentucky
Phoenix Suns,2014-15,14,Gerald Green,SG,6-6,205,"January 26, 1986",7,
Phoenix Suns,2014-15,3,Brandon Knight,SG,6-2,182,"December 2, 1991",3,Kentucky
Phoenix Suns,2014-15,21,Alex Len,C,7-0,250,"June 16, 1993",1,Maryland
Phoenix Suns,2014-15,8,Jerel McNeal,PG,6-3,200,"June 1, 1987",R,Marquette
Phoenix Suns,2014-15,15,Marcus Morris,PF,6-8,218,"September 2, 1989",3,Kansas
Phoenix Suns,2014-15,11,Markieff Morris,PF,6-9,245,"September 2, 1989",3,Kansas
Phoenix Suns,2014-15,22,Miles Plumlee,C,6-11,249,"September 1, 1988",2,Duke
Phoenix Suns,2014-15,1,A.J. Price,PG,6-2,181,"October 7, 1986",5,UConn
Phoenix Suns,2014-15,43,Shavlik Randolph,PF,6-10,240,"November 24, 1983",7,Duke
Phoenix Suns,2014-15,3,Isaiah Thomas,PG,5-9,185,"February 7, 1989",3,Washington
Phoenix Suns,2014-15,23,Marcus Thornton,SG,6-4,205,"June 5, 1987",5,LSU
Phoenix Suns,2014-15,40,Anthony Tolliver,PF,6-8,240,"June 1, 1985",6,Creighton
Phoenix Suns,2014-15,17,P.J. Tucker,SF,6-5,245,"May 5, 1985",3,Texas
Phoenix Suns,2014-15,12,T.J. Warren,SF,6-8,220,"September 5, 1993",R,NC State
Phoenix Suns,2014-15,32,Brandan Wright,PF,6-10,210,"October 5, 1987",6,UNC
Phoenix Suns,2015-16,2,Eric Bledsoe,PG,6-1,214,"December 9, 1989",5,Kentucky
Phoenix Suns,2015-16,1,Devin Booker,SG,6-5,206,"October 30, 1996",R,Kentucky
Phoenix Suns,2015-16,41,Lorenzo Brown,PG,6-5,189,"August 26, 1990",2,NC State
Phoenix Suns,2015-16,10,Chase Budinger,SF,6-7,209,"May 22, 1988",6,Arizona
Phoenix Suns,2015-16,4,Tyson Chandler,C,7-0,235,"October 2, 1982",14,
Phoenix Suns,2015-16,8,Bryce Cotton,PG,6-1,165,"August 11, 1992",1,Providence
Phoenix Suns,2015-16,20,Archie Goodwin,PG,6-5,200,"August 17, 1994",2,Kentucky
Phoenix Suns,2015-16,43,Kris Humphries,PF,6-9,235,"February 6, 1985",11,Minnesota
Phoenix Suns,2015-16,55,Cory Jefferson,PF,6-9,218,"December 26, 1990",1,Baylor
Phoenix Suns,2015-16,23,John Jenkins,SG,6-4,215,"March 6, 1991",3,Vanderbilt
